"노드링크 유형","노드 WKT","노드 ID","노드 유형 코드","링크 WKT","링크 ID","링크 유형 코드","시작노드 ID","종료노드 ID","링크 길이","시군구코드","시군구명","읍면동코드","읍면동명"
"NODE","POINT(127.00178102814176 37.581945188630954)","137304","0","","0","","","","","1111000000","종로구","1111017200","명륜4가"
"NODE","POINT(126.99701335026714 37.577184625449455)","136429","0","","0","","","","","1111000000","종로구","1111013000","와룡동"
"NODE","POINT(126.99697789522051 37.57649508793737)","136430","0","","0","","","","","1111000000","종로구","1111015900","원남동"
"LINK","","0","","LINESTRING(126.99776898185851 37.57245143060327,126.99752653093577 37.57244201229629)","275609","1000","136634","136635","21.4440","1111000000","종로구","1111015700","인의동"
"LINK","","0","","LINESTRING(127.00870271221665 37.57140787678555,127.00913113737275 37.571554310203965)","30686","1011","153186","153185","41.1900","1111000000","종로구","1111016400","종로6가"
"LINK","","0","","LINESTRING(126.98571291828777 37.56857026412408,126.98568598194656 37.56847728937382)","219156","1011","167194","10554","10.5900","1111000000","종로구","1111013500","관철동"
"NODE","POINT(126.99728538406251 37.57723640609517)","136431","0","","0","","","","","1111000000","종로구","1111016600","연건동"
"LINK","","0","","LINESTRING(126.99200152640593 37.570713070364164,126.99222918775669 37.570722499047896)","269465","1000","135652","135653","20.1390","1111000000","종로구","1111015600","종로3가"
"LINK","","0","","LINESTRING(126.9773983154466 37.57034981189002,126.9773577065086 37.57025600146402)","275238","1000","167338","167339","11.0130","1111000000","종로구","1111011900","세종로"
"NODE","POINT(126.98967151380992 37.57729290753758)","135346","0","","0","","","","","1111000000","종로구","1111013000","와룡동"
"NODE","POINT(126.99990593574422 37.58429866068804)","137035","0","","0","","","","","1111000000","종로구","1111017100","명륜2가"
"NODE","POINT(126.96912023057207 37.588016251732135)","146298","0","","0","","","","","1111000000","종로구","1111010100","청운동"
"LINK","","0","","LINESTRING(127.0234607753199 37.57287740035067,127.02321122482093 37.572869124169074)","45956","1011","10421","10422","22.0640","1111000000","종로구","1111017500","숭인동"
"NODE","POINT(126.98964782624523 37.57752588879888)","135347","0","","0","","","","","1111000000","종로구","1111013000","와룡동"
"NODE","POINT(126.99039591868731 37.57759655304098)","135348","0","","0","","","","","1111000000","종로구","1111013000","와룡동"
"NODE","POINT(126.99023036466683 37.577337669084805)","135349","0","","0","","","","","1111000000","종로구","1111013000","와룡동"
"NODE","POINT(126.9900056422327 37.57731411660239)","135351","0","","0","","","","","1111000000","종로구","1111013000","와룡동"
"NODE","POINT(126.99031907060913 37.57734944322801)","135352","0","","0","","","","","1111000000","종로구","1111013000","와룡동"
"NODE","POINT(126.9907014490941 37.57576448103989)","135393","0","","0","","","","","1111000000","종로구","1111013000","와룡동"
"NODE","POINT(126.99049151819398 37.575719750331196)","135395","0","","0","","","","","1111000000","종로구","1111013000","와룡동"
"NODE","POINT(126.99745987881748 37.57614797758959)","136507","0","","0","","","","","1111000000","종로구","1111015900","원남동"
"NODE","POINT(126.99706364854818 37.57639977872079)","136508","0","","0","","","","","1111000000","종로구","1111015900","원남동"
"NODE","POINT(127.01593707869618 37.572916405717024)","159706","0","","0","","","","","1111000000","종로구","1111017500","숭인동"
"NODE","POINT(127.01550298672223 37.573275762281924)","159704","0","","0","","","","","1111000000","종로구","1111017400","창신동"
"NODE","POINT(127.0157876417177 37.57328259013848)","159703","0","","0","","","","","1111000000","종로구","1111017500","숭인동"
"NODE","POINT(127.015820989547 37.57461565254021)","159697","0","","0","","","","","1111000000","종로구","1111017500","숭인동"
"NODE","POINT(126.96985342297879 37.57941342339377)","136537","0","","0","","","","","1111000000","종로구","1111010800","통인동"
"NODE","POINT(126.997184890754 37.576129144411915)","136540","0","","0","","","","","1111000000","종로구","1111015900","원남동"
"NODE","POINT(126.97734560919262 37.570003980054736)","157628","0","","0","","","","","1111000000","종로구","1111011900","세종로"
"NODE","POINT(126.97726873121093 37.57002279223688)","157627","0","","0","","","","","1111000000","종로구","1111011900","세종로"
"NODE","POINT(126.99709914304923 37.576091488455)","136541","0","","0","","","","","1111000000","종로구","1111015900","원남동"
"NODE","POINT(126.97673949806274 37.57001327566953)","157626","0","","0","","","","","1111000000","종로구","1111011900","세종로"
"NODE","POINT(126.97666556773544 37.57006032847879)","157625","0","","0","","","","","1111000000","종로구","1111011900","세종로"
"LINK","","0","","LINESTRING(127.0155852140631 37.5746271265355,127.015820989547 37.57461565254021)","46625","1000","159538","159697","20.8670","1111000000","종로구","1111017500","숭인동"
"NODE","POINT(127.01565458704314 37.57636983006322)","156496","0","","0","","","","","1111000000","종로구","1111017500","숭인동"
"NODE","POINT(127.015415922103 37.57634011063492)","156495","0","","0","","","","","1111000000","종로구","1111017400","창신동"
"NODE","POINT(126.9908390952804 37.57451956016121)","135469","0","","0","","","","","1111000000","종로구","1111013000","와룡동"
"NODE","POINT(126.9911171410876 37.573625301430326)","135471","0","","0","","","","","1111000000","종로구","1111015100","묘동"
"NODE","POINT(126.99764320933839 37.57599971923477)","136549","0","","0","","","","","1111000000","종로구","1111015900","원남동"
"LINK","","0","","LINESTRING(126.98744259163983 37.57157306729703,126.98784767432197 37.57158017010569)","269898","1000","134276","134275","35.7940","1111000000","종로구","1111013600","인사동"
"LINK","","0","","LINESTRING(127.0187087491502 37.57121000934391,127.01881570552469 37.571104126050066)","1052","1011","14269","87314","15.0790","1111000000","종로구","1111017400","창신동"
"NODE","POINT(126.99750129314162 37.57560435054533)","136552","0","","0","","","","","1111000000","종로구","1111015900","원남동"
"NODE","POINT(126.97638288898624 37.57575777810552)","156464","0","","0","","","","","1111000000","종로구","1111011900","세종로"
"NODE","POINT(126.99324513889466 37.57254090851123)","99","0","","0","","","","","1111000000","종로구","1111015200","봉익동"
"NODE","POINT(127.00202836630531 37.57862139717047)","137669","0","","0","","","","","1111000000","종로구","1111016600","연건동"
"NODE","POINT(126.99106084996167 37.57456664452484)","135476","0","","0","","","","","1111000000","종로구","1111013000","와룡동"
"NODE","POINT(126.99738750309939 37.57421409591198)","136658","0","","0","","","","","1111000000","종로구","1111015700","인의동"
"LINK","","0","","LINESTRING(126.99930169505005 37.58985855912778,126.9991819188936 37.58995151615927)","66737","1000","93717","136873","14.7770","1111000000","종로구","1111016900","혜화동"
"NODE","POINT(126.99762995952584 37.57423057460676)","136659","0","","0","","","","","1111000000","종로구","1111015700","인의동"
"NODE","POINT(126.99760935480802 37.571326516978225)","136664","0","","0","","","","","1111000000","종로구","1111015700","인의동"
"NODE","POINT(126.97733080038833 37.57008869852982)","157629","0","","0","","","","","1111000000","종로구","1111011900","세종로"
"NODE","POINT(126.99991785727715 37.587119488434375)","136949","0","","0","","","","","1111000000","종로구","1111017000","명륜1가"
"NODE","POINT(127.00232354269058 37.58068541414759)","137416","0","","0","","","","","1111000000","종로구","1111016800","동숭동"
"NODE","POINT(126.99653720326526 37.579010825052904)","136377","0","","0","","","","","1111000000","종로구","1111013000","와룡동"
"NODE","POINT(126.99664660219557 37.57922027781728)","136376","2","","0","","","","","1111000000","종로구","1111016600","연건동"
"NODE","POINT(126.99667026712851 37.5790178889804)","136375","0","","0","","","","","1111000000","종로구","1111016600","연건동"
"NODE","POINT(126.99680628799918 37.57902495283795)","136374","0","","0","","","","","1111000000","종로구","1111016600","연건동"
"NODE","POINT(126.99786658531508 37.57134299549324)","136665","0","","0","","","","","1111000000","종로구","1111015700","인의동"
"LINK","","0","","LINESTRING(126.97666556773544 37.57006032847879,126.97665672135568 37.56998501889175)","54232","1000","157625","133032","8.3950","1111000000","종로구","1111011900","세종로"
"LINK","","0","","LINESTRING(126.97726873121093 37.57002279223688,126.97733080038833 37.57008869852982)","54228","1000","157627","157629","9.1420","1111000000","종로구","1111011900","세종로"
"LINK","","0","","LINESTRING(127.00144718526742 37.58382179185937,127.00180194276639 37.583902449864404)","169591","1000","137069","137073","32.5880","1111000000","종로구","1111016900","혜화동"
"LINK","","0","","LINESTRING(127.00466564605148 37.57105234434455,127.004766987776 37.571057085182005)","48310","1011","147532","147578","8.9680","1111000000","종로구","1111016300","종로5가"
"NODE","POINT(127.00239502098844 37.57862376274094)","137714","0","","0","","","","","1111000000","종로구","1111016800","동숭동"
"NODE","POINT(126.97076778784846 37.58152579911299)","130","0","","0","","","","","1111000000","종로구","1111011100","옥인동"
"NODE","POINT(126.99916861415385 37.5896255754163)","93718","0","","0","","","","","1111000000","종로구","1111016900","혜화동"
"NODE","POINT(127.00213657001885 37.57065266054209)","138186","0","","0","","","","","1111000000","종로구","1111016300","종로5가"
"NODE","POINT(126.97077816936478 37.58144461057936)","132","0","","0","","","","","1111000000","종로구","1111010800","통인동"
"NODE","POINT(127.0020283059414 37.57639604805261)","137719","0","","0","","","","","1111000000","종로구","1111016600","연건동"
"LINK","","0","","LINESTRING(126.99530016618485 37.568754655495816,126.99530904107914 37.56867228788076)","40504","1011","93337","93338","9.1750","1111000000","종로구","1111015400","장사동"
"NODE","POINT(127.00245455466128 37.576035428935555)","137720","0","","0","","","","","1111000000","종로구","1111016600","연건동"
"NODE","POINT(127.0155852140631 37.5746271265355)","159538","0","","0","","","","","1111000000","종로구","1111017400","창신동"
"NODE","POINT(126.99932883066448 37.570745203251576)","138171","0","","0","","","","","1111000000","종로구","1111016100","종로4가"
