"순번","노선명(도로명)","도로종류","도로기능","도로규모","도로폭","--- WORK_DTTM"
"1","4.19로","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.675"
"2","4.19로11길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.675"
"3","4.19로12길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.675"
"4","4.19로13길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.675"
"5","4.19로17길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.675"
"6","4.19로1길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.675"
"7","4.19로20길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.675"
"8","4.19로21길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.675"
"9","4.19로23길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.675"
"10","4.19로25길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.676"
"11","4.19로27길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.681"
"12","4.19로28길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.681"
"13","4.19로29길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.681"
"14","4.19로2길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.681"
"15","4.19로30길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.681"
"16","4.19로31길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.681"
"17","4.19로32길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.681"
"18","4.19로8길","일반도로","국지도로","소로1류","폭10-12m","2026-03-01 11:18:02.681"
"19","4.19로9가길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.681"
"20","4.19로9길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.681"
"21","63로","일반도로","국지도로","대로3류","폭25-30m","2026-03-01 11:18:02.687"
"22","가락로","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.687"
"23","가락로11길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.687"
"24","가락로12길","일반도로","국지도로","소로2류","폭8-10m","2026-03-01 11:18:02.687"
"25","가락로13길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.687"
"26","가락로15길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.687"
"27","가락로16길","일반도로","국지도로","소로3류","폭6-8m","2026-03-01 11:18:02.687"
"28","가락로17길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.687"
"29","가락로18길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.687"
"30","가락로19길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.687"
"31","가락로21길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.693"
"32","가락로23길","일반도로","국지도로","소로","6m미만","2026-03-01 11:18:02.693"
